Name,Lizenz
postgres-date,MIT
@cypress/request,Apache-2.0
fs-extra,MIT
@babel/helper-define-polyfill-provider,MIT
jsesc,MIT
commander,MIT
is-module,MIT
@popperjs/core,MIT
shebang-command,MIT
split2,ISC
jasmine-core,MIT
aws4,MIT
safe-regex-test,MIT
@rollup/rollup-darwin-x64,MIT
entities,BSD-2-Clause
jquery-migrate,MIT
sass-embedded-linux-ia32,MIT
es-shim-unscopables,MIT
@rollup/plugin-commonjs,MIT
supports-color,MIT
parse-json,MIT
delayed-stream,MIT
rimraf,ISC
@lezer/php,MIT
crelt,MIT
nodemailer,MIT-0
@esbuild/darwin-x64,MIT
mime-types,MIT
estree-walker,MIT
style-search,ISC
imurmurhash,MIT
cosmiconfig,MIT
spdx-correct,Apache-2.0
selderee,MIT
foreground-child,ISC
hosted-git-info,ISC
getos,MIT
regenerate,MIT
globalthis,MIT
babel-plugin-polyfill-regenerator,MIT
es-object-atoms,MIT
regexp.prototype.flags,MIT
inherits,ISC
picomatch,MIT
strip-bom,MIT
acorn-jsx,MIT
shebang-regex,MIT
@babel/plugin-transform-class-properties,MIT
is-number-object,MIT
spdx-license-ids,CC0-1.0
trim-newlines,MIT
is-fullwidth-code-point,MIT
json-stringify-safe,ISC
fill-range,MIT
sass-embedded-linux-musl-arm,MIT
@rollup/rollup-darwin-arm64,MIT
min-document,MIT
safer-buffer,MIT
glob-parent,ISC
resolve-from,MIT
rfdc,MIT
postcss-scss,MIT
json-schema-traverse,MIT
dir-glob,MIT
@types/json5,MIT
signal-exit,ISC
set-proto,MIT
@csstools/selector-specificity,CC0-1.0
throttleit,MIT
convert-source-map,MIT
pg-int8,ISC
is-weakset,MIT
esrecurse,BSD-2-Clause
debug,MIT
npm-run-path,MIT
esquery,BSD-3-Clause
define-data-property,MIT
@esbuild/linux-mips64el,MIT
@babel/plugin-transform-template-literals,MIT
totp-generator,MIT
which,ISC
semver,ISC
isarray,MIT
color-name,MIT
bignumber.js,MIT
wrap-ansi,MIT
read-pkg-up,MIT
universalify,MIT
buffer-crc32,MIT
is-stream,MIT
style-mod,MIT
form-data,MIT
joomla-cypress,GPL-2.0+
@babel/plugin-transform-exponentiation-operator,MIT
sass-embedded-linux-musl-ia32,MIT
safe-array-concat,MIT
ansi-colors,MIT
accessibility,MIT
@nodelib/fs.stat,MIT
@nodelib/fs.scandir,MIT
once,ISC
object.fromentries,MIT
@rollup/rollup-linux-powerpc64le-gnu,MIT
fast-glob,MIT
vue-demi,MIT
natural-compare,MIT
commander,MIT
is-array-buffer,MIT
@babel/helper-replace-supers,MIT
joomla-ui-custom-elements,GPL-2.0-or-later
@rollup/plugin-babel,MIT
sass-embedded-win32-arm64,MIT
pify,MIT
check-more-types,MIT
estree-walker,MIT
mathml-tag-names,MIT
asynckit,MIT
w3c-keyname,MIT
@jridgewell/trace-mapping,MIT
@babel/plugin-transform-dotall-regex,MIT
mysql,MIT
keyv,MIT
bootstrap,CC-BY-3.0 AND MIT
array-includes,MIT
@rollup/rollup-win32-x64-msvc,MIT
escalade,MIT
@codemirror/autocomplete,MIT
reusify,MIT
strip-indent,MIT
glob,ISC
metismenujs,MIT
@babel/plugin-transform-duplicate-keys,MIT
@codemirror/view,MIT
@rollup/rollup-linux-riscv64-gnu,MIT
pump,MIT
arraybuffer.prototype.slice,MIT
bluebird,MIT
short-and-sweet,MIT
@babel/plugin-transform-unicode-regex,MIT
mailsplit,(MIT OR EUPL-1.1+)
@lezer/common,MIT
rollup,0BSD AND ISC AND MIT
@lezer/json,MIT
ms,MIT
js-yaml,MIT
apca-w3,Unbekannt
vue,MIT
encoding-japanese,MIT
eslint-import-resolver-node,MIT
iconv-lite,MIT
available-typed-arrays,MIT
@babel/helper-wrap-function,MIT
@babel/helper-validator-identifier,MIT
@babel/code-frame,MIT
dunder-proto,MIT
@babel/plugin-transform-object-rest-spread,MIT
queue-microtask,MIT
ecc-jsbn,MIT
through,MIT
stylelint-config-standard,MIT
@codemirror/lang-php,MIT
wrap-ansi,MIT
@babel/plugin-transform-literals,MIT
picocolors,ISC
ansi-regex,MIT
domelementtype,BSD-2-Clause
readable-stream,MIT
error-ex,MIT
core-util-is,MIT
eastasianwidth,MIT
@babel/helper-module-transforms,MIT
lightningcss-freebsd-x64,MPL-2.0
type-fest,MIT OR (CC0-1.0 AND MIT)
doctrine,Apache-2.0
function-bind,MIT
@vue/server-renderer,MIT
@rollup/plugin-node-resolve,MIT
@esbuild/linux-arm,MIT
tslib,0BSD
signal-exit,ISC
chalk,MIT
strip-ansi,MIT
@esbuild/freebsd-arm64,MIT
@babel/plugin-transform-dynamic-import,MIT
core-js-compat,MIT
typed-array-buffer,MIT
@rollup/rollup-linux-arm64-musl,MIT
get-stream,MIT
@babel/core,MIT
@babel/plugin-transform-named-capturing-groups-regex,MIT
@rollup/rollup-freebsd-x64,MIT
ipv6-normalize,MIT
is-number,MIT
diff,BSD-3-Clause
cropperjs,MIT
dotenv,BSD-2-Clause
@babel/parser,MIT
vue-eslint-parser,MIT
async-function,MIT
file-entry-cache,MIT
@codemirror/lang-xml,MIT
lightningcss-linux-x64-gnu,MPL-2.0
tree-kill,MIT
@babel/plugin-transform-numeric-separator,MIT
@babel/plugin-transform-export-namespace-from,MIT
lightningcss-linux-arm-gnueabihf,MPL-2.0
@codemirror/state,MIT
mime-db,MIT
lazy-ass,MIT
@humanwhocodes/object-schema,BSD-3-Clause
@babel/plugin-transform-regexp-modifiers,MIT
@babel/plugin-transform-reserved-words,MIT
locate-path,MIT
object-keys,MIT
chosen-js,MIT
@rtsao/scc,MIT
jackspeak,BlueOak-1.0.0
sass-embedded-linux-x64,MIT
lightningcss-darwin-x64,MPL-2.0
@vue/devtools-api,MIT
figures,MIT
dashdash,MIT
path-parse,MIT
strip-final-newline,MIT
pretty-bytes,MIT
vue-focus-lock,ISC
is-data-view,MIT
cypress,MIT
eslint-visitor-keys,Apache-2.0
json-schema-traverse,MIT
global-prefix,MIT
@babel/plugin-transform-typeof-symbol,MIT
gopd,MIT
sass-embedded-linux-arm,MIT
string_decoder,MIT
globals,MIT
is-path-inside,MIT
spdx-exceptions,CC-BY-3.0
cli-table3,MIT
@vue/runtime-dom,MIT
